customer_id,age,gender,city,device,customer_type
C001,22,Female,Bhopal,Mobile,New
C002,25,Male,Indore,Desktop,Returning
C003,28,Female,Delhi,Mobile,Returning
C004,21,Female,Mumbai,Mobile,New
C005,24,Male,Pune,Desktop,New
C006,30,Male,Bangalore,Mobile,Returning
C007,23,Female,Jaipur,Mobile,New
C008,27,Male,Hyderabad,Desktop,Returning
C009,22,Female,Ahmedabad,Mobile,New
C010,31,Female,Chennai,Mobile,Returning
C011,26,Male,Kolkata,Desktop,New
C012,24,Female,Bangalore,Mobile,Returning
C013,29,Male,Pune,Mobile,Returning
C014,21,Female,Indore,Mobile,New
C015,32,Female,Delhi,Desktop,Returning
C016,25,Male,Mumbai,Mobile,New
C017,23,Female,Bhopal,Mobile,Returning
C018,28,Male,Jaipur,Desktop,New
C019,26,Female,Hyderabad,Mobile,Returning
C020,30,Female,Pune,Desktop,Returning
