event_id,customer_id,product_id,event_type,timestamp,device,search_query
E001,C001,P001,search,2026-08-01 10:02:00,Mobile,kurti
E002,C001,P001,product_view,2026-08-01 10:03:00,Mobile,kurti
E003,C001,P001,add_to_cart,2026-08-01 10:05:00,Mobile,kurti
E004,C001,P001,checkout,2026-08-01 10:08:00,Mobile,kurti
E005,C001,P001,payment,2026-08-01 10:09:00,Mobile,kurti
E006,C001,P001,purchase,2026-08-01 10:10:00,Mobile,kurti
E007,C002,P002,search,2026-08-01 11:15:00,Desktop,jeans
E008,C002,P002,product_view,2026-08-01 11:16:00,Desktop,jeans
E009,C002,P002,add_to_cart,2026-08-01 11:19:00,Desktop,jeans
E010,C002,P002,checkout,2026-08-01 11:22:00,Desktop,jeans
E011,C002,P002,payment,2026-08-01 11:23:00,Desktop,jeans
E012,C003,P003,search,2026-08-01 12:10:00,Mobile,dress
E013,C003,P003,product_view,2026-08-01 12:11:00,Mobile,dress
E014,C003,P003,add_to_cart,2026-08-01 12:14:00,Mobile,dress
E015,C004,P004,search,2026-08-01 13:05:00,Mobile,sneakers
E016,C004,P004,product_view,2026-08-01 13:06:00,Mobile,sneakers
E017,C004,P004,add_to_cart,2026-08-01 13:09:00,Mobile,sneakers
E018,C004,P004,checkout,2026-08-01 13:12:00,Mobile,sneakers
E019,C005,P005,search,2026-08-01 14:20:00,Desktop,tshirt
E020,C005,P005,product_view,2026-08-01 14:21:00,Desktop,tshirt
E021,C006,P006,search,2026-08-01 15:05:00,Mobile,saree
E022,C006,P006,product_view,2026-08-01 15:06:00,Mobile,saree
E023,C006,P006,add_to_cart,2026-08-01 15:09:00,Mobile,saree
E024,C006,P006,checkout,2026-08-01 15:12:00,Mobile,saree
E025,C006,P006,payment,2026-08-01 15:13:00,Mobile,saree
E026,C006,P006,purchase,2026-08-01 15:14:00,Mobile,saree
E027,C007,P008,search,2026-08-01 16:20:00,Mobile,anarkali
E028,C007,P008,product_view,2026-08-01 16:21:00,Mobile,anarkali
E029,C007,P008,add_to_cart,2026-08-01 16:24:00,Mobile,anarkali
E030,C007,P008,checkout,2026-08-01 16:27:00,Mobile,anarkali
E031,C007,P008,payment,2026-08-01 16:28:00,Mobile,anarkali
E032,C008,P009,search,2026-08-01 17:10:00,Desktop,shirt
E033,C008,P009,product_view,2026-08-01 17:11:00,Desktop,shirt
E034,C008,P009,add_to_cart,2026-08-01 17:14:00,Desktop,shirt
E035,C009,P010,search,2026-08-01 18:05:00,Mobile,party dress
E036,C009,P010,product_view,2026-08-01 18:06:00,Mobile,party dress
E037,C009,P010,add_to_cart,2026-08-01 18:10:00,Mobile,party dress
E038,C009,P010,checkout,2026-08-01 18:13:00,Mobile,party dress
E039,C010,P011,search,2026-08-01 19:15:00,Mobile,sneakers
E040,C010,P011,product_view,2026-08-01 19:16:00,Mobile,sneakers
E041,C010,P011,add_to_cart,2026-08-01 19:19:00,Mobile,sneakers
E042,C010,P011,checkout,2026-08-01 19:22:00,Mobile,sneakers
E043,C010,P011,payment,2026-08-01 19:23:00,Mobile,sneakers
E044,C010,P011,purchase,2026-08-01 19:24:00,Mobile,sneakers
E045,C011,P013,search,2026-08-02 10:05:00,Desktop,tshirt
E046,C011,P013,product_view,2026-08-02 10:06:00,Desktop,tshirt
E047,C011,P013,add_to_cart,2026-08-02 10:09:00,Desktop,tshirt
E048,C012,P015,search,2026-08-02 11:15:00,Mobile,kurti
E049,C012,P015,product_view,2026-08-02 11:16:00,Mobile,kurti
E050,C012,P015,add_to_cart,2026-08-02 11:19:00,Mobile,kurti
E051,C012,P015,checkout,2026-08-02 11:22:00,Mobile,kurti
E052,C013,P007,search,2026-08-02 12:30:00,Mobile,jeans
E053,C013,P007,product_view,2026-08-02 12:31:00,Mobile,jeans
E054,C013,P007,add_to_cart,2026-08-02 12:34:00,Mobile,jeans
E055,C013,P007,checkout,2026-08-02 12:37:00,Mobile,jeans
E056,C013,P007,payment,2026-08-02 12:38:00,Mobile,jeans
E057,C014,P008,search,2026-08-02 13:10:00,Mobile,anarkali
E058,C014,P008,product_view,2026-08-02 13:11:00,Mobile,anarkali
E059,C015,P012,search,2026-08-02 14:20:00,Desktop,saree
E060,C015,P012,product_view,2026-08-02 14:21:00,Desktop,saree
E061,C015,P012,add_to_cart,2026-08-02 14:24:00,Desktop,saree
E062,C015,P012,checkout,2026-08-02 14:27:00,Desktop,saree
E063,C015,P012,payment,2026-08-02 14:28:00,Desktop,saree
E064,C015,P012,purchase,2026-08-02 14:29:00,Desktop,saree
E065,C016,P014,search,2026-08-02 15:10:00,Mobile,denim jacket
E066,C016,P014,product_view,2026-08-02 15:11:00,Mobile,denim jacket
E067,C016,P014,add_to_cart,2026-08-02 15:14:00,Mobile,denim jacket
E068,C017,P019,search,2026-08-02 16:05:00,Mobile,saree
E069,C017,P019,product_view,2026-08-02 16:06:00,Mobile,saree
E070,C017,P019,add_to_cart,2026-08-02 16:09:00,Mobile,saree
E071,C017,P019,checkout,2026-08-02 16:12:00,Mobile,saree
E072,C018,P018,search,2026-08-02 17:20:00,Desktop,jeans
E073,C018,P018,product_view,2026-08-02 17:21:00,Desktop,jeans
E074,C018,P018,add_to_cart,2026-08-02 17:24:00,Desktop,jeans
E075,C018,P018,checkout,2026-08-02 17:27:00,Desktop,jeans
E076,C018,P018,payment,2026-08-02 17:28:00,Desktop,jeans
E077,C019,P017,search,2026-08-02 18:15:00,Mobile,dress
E078,C019,P017,product_view,2026-08-02 18:16:00,Mobile,dress
E079,C019,P017,add_to_cart,2026-08-02 18:19:00,Mobile,dress
E080,C020,P020,search,2026-08-02 19:10:00,Desktop,formal shirt
E081,C020,P020,product_view,2026-08-02 19:11:00,Desktop,formal shirt
E082,C020,P020,add_to_cart,2026-08-02 19:14:00,Desktop,formal shirt
E083,C003,P003,checkout,2026-08-03 10:20:00,Mobile,dress
E084,C003,P003,payment,2026-08-03 10:21:00,Mobile,dress
E085,C003,P003,purchase,2026-08-03 10:22:00,Mobile,dress
E086,C008,P009,checkout,2026-08-03 11:15:00,Desktop,shirt
E087,C008,P009,payment,2026-08-03 11:16:00,Desktop,shirt
E088,C012,P015,payment,2026-08-03 11:23:00,Mobile,kurti
E089,C014,P008,add_to_cart,2026-08-03 12:10:00,Mobile,anarkali
E090,C014,P008,checkout,2026-08-03 12:13:00,Mobile,anarkali
E091,C014,P008,payment,2026-08-03 12:14:00,Mobile,anarkali
E092,C016,P014,checkout,2026-08-03 13:20:00,Mobile,denim jacket
E093,C016,P014,payment,2026-08-03 13:21:00,Mobile,denim jacket
E094,C017,P019,payment,2026-08-03 14:15:00,Mobile,saree
E095,C017,P019,purchase,2026-08-03 14:16:00,Mobile,saree
E096,C018,P018,purchase,2026-08-03 15:10:00,Desktop,jeans
E097,C019,P017,checkout,2026-08-03 16:20:00,Mobile,dress
E098,C019,P017,payment,2026-08-03 16:21:00,Mobile,dress
E099,C019,P017,purchase,2026-08-03 16:22:00,Mobile,dress
E100,C020,P020,product_view,2026-08-03 17:05:00,Desktop,formal shirt
